Year,Month,IP,CPI,I,ER,U,U1,U2,ER1,ER2,I1,I2,CPI1,CPI2,IP1,IP2,BSE_RAW,BSE_RAW1,BSE_RAW2
2016,3,5.2,126,0,66.8586,8.73,8.46,8.72,68.2764,67.3127,-0.24,0.16,126,126.3,7.2,4,25341.86,23002,24870.69
2016,4,6,127.3,1.03,66.4734,8.9,8.73,8.46,66.8586,68.2764,0,-0.24,126,126,5.2,7.2,25606.62,25341.86,23002
2016,5,7.3,128.6,1.02,66.9571,9.65,8.9,8.73,66.4734,66.8586,1.03,0,127.3,126,6,5.2,26667.96,25606.62,25341.86
2016,6,8,130.1,1.17,67.2331,8.91,9.65,8.9,66.9571,66.4734,1.02,1.03,128.6,127.3,7.3,6,26999.72,26667.96,25606.62
2016,7,4.5,131.1,0.77,67.1255,8.51,8.91,9.65,67.2331,66.9571,1.17,1.02,130.1,128.6,8,7.3,28051.86,26999.72,26667.96
2016,8,4,131.1,0,66.9489,9.59,8.51,8.91,67.1255,67.2331,0.77,1.17,131.1,130.1,4.5,8,28452.17,28051.86,26999.72
2016,9,5,130.9,-0.15,66.7343,8.43,9.59,8.51,66.9489,67.1255,0,0.77,131.1,131.1,4,4.5,27865.96,28452.17,28051.86
2016,10,4.2,131.4,0.38,66.7269,6.71,8.43,9.59,66.7343,66.9489,-0.15,0,130.9,131.1,5,4,27930.21,27865.96,28452.17
2016,11,5.1,131.2,-0.15,67.721,6.51,6.71,8.43,66.7269,66.7343,0.38,-0.15,131.4,130.9,4.2,5,26652.81,27930.21,27865.96
2016,12,2.4,130.4,-0.61,67.8116,6.4,6.51,6.71,67.721,66.7269,-0.15,0.38,131.2,131.4,5.1,4.2,26626.46,26652.81,27930.21
2017,1,3.5,130.3,-0.08,68.075,5.93,6.4,6.51,67.8116,67.721,-0.61,-0.15,130.4,131.2,2.4,5.1,27655.96,26626.46,26652.81
2017,2,1.2,130.6,0.23,66.9638,5.01,5.93,6.4,68.075,67.8116,-0.08,-0.61,130.3,130.4,3.5,2.4,28743.32,27655.96,26626.46
2017,3,4.4,130.9,0.23,65.8677,4.67,5.01,5.93,66.9638,68.075,0.23,-0.08,130.6,130.3,1.2,3.5,29620.5,28743.32,27655.96
2017,4,3.2,131.1,0.15,64.5291,3.87,4.67,5.01,65.8677,66.9638,0.23,0.23,130.9,130.6,4.4,1.2,29918.4,29620.5,28743.32
