Date,MAL,MAL_R,MAL1,MAL2,MAL_R1,MAL_R2,CPI,I,ER,U
42430,857.25,0.1004,779,785,-0.0076,0.088,113.8,-0.61,4.0559,3.5
42461,806.38,-0.0593,857.25,779,0.1004,-0.0076,114.3,0.44,3.8991,3.5
42491,754,-0.065,806.38,857.25,-0.0593,0.1004,114.6,0.26,4.0446,3.4
42522,865.38,0.1477,754,806.38,-0.065,-0.0593,114.8,0.17,4.0724,3.4
42552,866.63,0.0014,865.38,754,0.1477,-0.065,115.1,0.26,4.0174,3.5
42583,878.88,0.0141,866.63,865.38,0.0014,0.1477,115.6,0.43,4.0276,3.5
42614,869.38,-0.0108,878.88,866.63,0.0141,0.0014,115.3,-0.26,4.1101,3.5
42644,914.5,0.0519,869.38,878.88,-0.0108,0.0141,115.7,0.35,4.1744,3.5
42675,818.88,-0.1046,914.5,869.38,0.0519,-0.0108,116.9,1.04,4.3501,3.4
42705,834.63,0.0192,818.88,914.5,-0.1046,0.0519,116.9,0,4.4602,3.5
42736,850.13,0.0186,834.63,818.88,0.0192,-0.1046,118.2,1.11,4.4579,3.5
42767,866.75,0.0196,850.13,834.63,0.0186,0.0192,119.7,1.27,4.442,3.5
42795,892.5,0.0297,866.75,850.13,0.0196,0.0186,119.6,-0.08,4.4385,3.4
42826,896.13,0.0041,892.5,866.75,0.0297,0.0196,119.3,-0.25,4.4033,3.4
42856,902.25,0.0068,896.13,892.5,0.0041,0.0297,119.1,-0.17,4.3163,3.4
42887,902.25,0,902.25,896.13,0.0068,0.0041,118.9,-0.17,4.2767,3.4
42917,891,-0.0125,902.25,902.25,0,0.0068,118.8,-0.08,4.2894,3.5
42948,916.25,0.0283,891,902.25,-0.0125,0,119.9,0.93,4.2833,3.4
42979,888.63,-0.0302,916.25,891,0.0283,-0.0125,120.3,0.33,4.2131,3.4
43009,893.63,0.0056,888.63,916.25,-0.0302,0.0283,120.8,0.42,4.2289,3.4
43040,896.13,0.0028,893.63,888.63,0.0056,-0.0302,120.8,0,4.1682,3.3
43070,941.88,0.0511,896.13,893.63,0.0028,0.0056,120.9,0.08,4.0771,3.3
43101,968.75,0.0285,941.88,896.13,0.0511,0.0028,121.3,0.33,3.9522,3.4
43132,989,0.0209,968.75,941.88,0.0285,0.0511,121.3,0,3.9143,3.3
43160,990,0.001,989,968.75,0.0209,0.0285,120.9,-0.33,3.9032,3.3
43191,998,0.0081,990,989,0.001,0.0209,120.9,0,3.8892,3.3
43221,936.38,-0.0617,998,990,0.0081,0.001,121.1,0.17,3.9644,3.3
