Date,PAK,PAK_R,CPI,I,ER,PAK1,PAK2,PAK_R1,PAK_R2,CPI1,CPI2,I1,I2,ER1,ER2,U,U1,U2
Mar-16,52.64,0.0528,203.28,0.15,104.7058,50,49.12,0.0179,-0.0568,202.98,203.49,-0.25,0.21,104.602,104.8938,3.605,3.5875,3.57
Apr-16,55.34,0.0513,206.43,1.55,104.7248,52.64,50,0.0528,0.0179,203.28,202.98,0.15,-0.25,104.7058,104.602,3.6225,3.605,3.5875
May-16,57.4,0.0372,205.99,-0.21,104.7325,55.34,52.64,0.0513,0.0528,206.43,203.28,1.55,0.15,104.7248,104.7058,3.64,3.6225,3.605
Jun-16,60.8,0.0592,207.3,0.64,104.5846,57.4,55.34,0.0372,0.0513,205.99,206.43,-0.21,1.55,104.7325,104.7248,3.6575,3.64,3.6225
Jul-16,62.88,0.0342,210.08,1.34,104.7714,60.8,57.4,0.0592,0.0372,207.3,205.99,0.64,-0.21,104.5846,104.7325,3.675,3.6575,3.64
Aug-16,62.11,-0.0122,209.46,-0.3,104.6562,62.88,60.8,0.0342,0.0592,210.08,207.3,1.34,0.64,104.7714,104.5846,3.6925,3.675,3.6575
Sep-16,63.36,0.0201,209.88,0.2,104.483,62.11,62.88,-0.0122,0.0342,209.46,210.08,-0.3,1.34,104.6562,104.7714,3.71,3.6925,3.675
Oct-16,61.24,-0.0335,211.57,0.81,104.5485,63.36,62.11,0.0201,-0.0122,209.88,209.46,0.2,-0.3,104.483,104.6562,3.7275,3.71,3.6925
Nov-16,63.27,0.0331,212.01,0.21,104.7524,61.24,63.36,-0.0335,0.0201,211.57,209.88,0.81,0.2,104.5485,104.483,3.745,3.7275,3.71
Dec-16,70,0.1064,210.57,-0.68,104.7917,63.27,61.24,0.0331,-0.0335,212.01,211.57,0.21,0.81,104.7524,104.5485,3.7625,3.745,3.7275
Jan-17,70.4,0.0057,210.94,0.18,104.7792,70,63.27,0.1064,0.0331,210.57,212.01,-0.68,0.21,104.7917,104.7524,3.78,3.7625,3.745
Feb-17,70.04,-0.0051,211.54,0.28,104.7941,70.4,70,0.0057,0.1064,210.94,210.57,0.18,-0.68,104.7792,104.7917,3.793333333,3.78,3.7625
Mar-17,67.92,-0.0303,213.32,0.84,104.8155,70.04,70.4,-0.0051,0.0057,211.54,210.94,0.28,0.18,104.7941,104.7792,3.806666667,3.793333333,3.78
Apr-17,71.2,0.0483,216.3,1.4,104.8153,67.92,70.04,-0.0303,-0.0051,213.32,211.54,0.84,0.28,104.8155,104.7941,3.82,3.806666667,3.793333333
May-17,72.08,0.0124,216.33,0.01,104.8032,71.2,67.92,0.0483,-0.0303,216.3,213.32,1.4,0.84,104.8153,104.8155,3.833333333,3.82,3.806666667
Jun-17,66.48,-0.0777,215.45,-0.41,104.8257,72.08,71.2,0.0124,0.0483,216.33,216.3,0.01,1.4,104.8032,104.8153,3.846666667,3.833333333,3.82
Jul-17,64.4,-0.0313,216.49,0.48,105.3752,66.48,72.08,-0.0777,0.0124,215.45,216.33,-0.41,0.01,104.8257,104.8032,3.86,3.846666667,3.833333333
Aug-17,57.8,-0.1025,216.61,0.06,105.3429,64.4,66.48,-0.0313,-0.0777,216.49,215.45,0.48,-0.41,105.3752,104.8257,3.873333333,3.86,3.846666667
Sep-17,58.08,0.0048,217.98,0.63,105.348,57.8,64.4,-0.1025,-0.0313,216.61,216.49,0.06,0.48,105.3429,105.3752,3.886666667,3.873333333,3.86
Oct-17,54.08,-0.0689,219.61,0.75,105.3614,58.08,57.8,0.0048,-0.1025,217.98,216.61,0.63,0.06,105.348,105.3429,3.9,3.886666667,3.873333333
Nov-17,54.24,0.003,220.42,0.37,105.248,54.08,58.08,-0.0689,0.0048,219.61,217.98,0.75,0.63,105.3614,105.348,3.913333333,3.9,3.886666667
