Date,TM
Jan-16,-13.90%
Feb-16,-11.04%
Mar-16,29.00%
Apr-16,5.63%
May-16,12.56%
Jun-16,-0.09%
Jul-16,9.57%
Aug-16,6.86%
Sep-16,-0.53%
Oct-16,-0.54%
Nov-16,-13.66%
Dec-16,2.77%
Jan-17,10.92%
Feb-17,-12.76%
Mar-17,1.99%
Apr-17,-1.49%
May-17,3.76%
Jun-17,-9.16%
Jul-17,2.79%
Aug-17,-15.31%
Sep-17,6.63%
Oct-17,6.70%
Nov-17,-5.66%
Dec-17,6.85%
Jan-18,-7.49%
Feb-18,-7.41%
Mar-18,-11.64%
Apr-18,4.15%
May-18,-17.01%
Jun-18,-4.67%
Jul-18,-1.93%
Aug-18,1.29%
Sep-18,-16.37%
Oct-18,-19.94%
Nov-18,-3.99%
Dec-18,0.44%
Jan-19,4.92%
Feb-19,-2.07%
Mar-19,-1.80%
Apr-19,22.98%
May-19,-19.46%
Jun-19,-5.82%
Jul-19,-16.58%
Aug-19,-13.94%
Sep-19,0.64%
Oct-19,51.30%
Nov-19,-9.12%
Dec-19,14.64%
Jan-20,-4.62%
Feb-20,-26.98%
Mar-20,-44.90%
Apr-20,31.25%
May-20,-6.70%
Jun-20,12.93%
Jul-20,6.51%
Aug-20,36.84%
Sep-20,-6.91%
Oct-20,-0.49%
Nov-20,35.96%
Dec-20,1.94%
Jan-21,42.89%
Feb-21,22.93%
Mar-21,-6.55%
Apr-21,-2.63%
May-21,8.47%
Jun-21,6.54%
Jul-21,-13.44%
Aug-21,-2.26%
Sep-21,16.03%
Oct-21,14.88%
