"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 21","3,935.65","3,785.60","3,989.90","3,710.00","2.93M","4.24%"
"Sep 21","3,775.55","3,796.00","3,981.75","3,707.00","50.57M","-0.29%"
"Aug 21","3,786.45","3,180.00","3,804.10","3,167.00","56.68M","19.54%"
"Jul 21","3,167.45","3,358.00","3,374.00","3,132.40","44.35M","-5.33%"
"Jun 21","3,345.75","3,168.60","3,399.65","3,115.00","45.08M","5.91%"
"May 21","3,159.15","3,024.90","3,217.75","3,004.00","43.54M","4.07%"
"Apr 21","3,035.65","3,191.10","3,354.35","3,020.00","61.33M","-4.47%"
"Mar 21","3,177.85","2,926.00","3,205.00","2,901.80","71.84M","9.80%"
"Feb 21","2,894.30","3,100.00","3,245.80","2,880.00","65.46M","-6.98%"
"Jan 21","3,111.35","2,880.00","3,339.80","2,879.00","84.69M","8.68%"
"Dec 20","2,862.75","2,679.00","2,952.00","2,624.45","62.83M","6.83%"
"Nov 20","2,679.65","2,660.00","2,744.00","2,600.05","65.14M","0.56%"
"Oct 20","2,664.85","2,510.00","2,885.00","2,492.30","128.62M","6.92%"
"Sep 20","2,492.30","2,269.00","2,555.00","2,241.30","116.41M","10.41%"
"Aug 20","2,257.25","2,290.45","2,328.00","2,216.45","65.56M","-1.06%"
"Jul 20","2,281.40","2,079.70","2,358.00","2,079.50","106.38M","9.57%"
"Jun 20","2,082.15","1,990.00","2,132.00","1,981.10","73.99M","5.57%"
"May 20","1,972.35","1,966.00","2,032.00","1,865.20","65.35M","-2.09%"
"Apr 20","2,014.45","1,825.90","2,032.00","1,650.00","88.92M","10.31%"
"Mar 20","1,826.10","2,035.00","2,147.75","1,506.05","115.64M","-8.70%"
"Feb 20","2,000.15","2,079.50","2,230.00","1,990.00","50.65M","-3.80%"
"Jan 20","2,079.05","2,168.00","2,260.00","2,071.60","63.37M","-3.82%"
"Dec 19","2,161.70","2,060.00","2,246.70","1,984.00","86.63M","5.28%"
"Nov 19","2,053.25","2,264.00","2,275.00","2,035.05","59.75M","-9.53%"
"Oct 19","2,269.65","2,054.98","2,284.95","1,887.37","73.27M","10.27%"
"Sep 19","2,058.26","2,225.63","2,251.32","1,936.40","56.75M","-7.09%"
"Aug 19","2,215.43","2,157.00","2,237.39","2,101.36","44.45M","2.44%"
"Jul 19","2,162.58","2,191.31","2,214.65","2,019.73","60.44M","-0.97%"
"Jun 19","2,183.67","2,157.98","2,247.69","2,100.23","46.28M","1.40%"
"May 19","2,153.61","2,210.92","2,215.24","1,992.53","60.48M","-2.82%"
"Apr 19","2,216.17","1,970.71","2,222.64","1,967.77","67.09M","12.92%"
"Mar 19","1,962.52","1,956.05","2,028.51","1,919.78","53.48M","0.92%"
"Feb 19","1,944.68","1,970.22","2,056.94","1,844.53","62.77M","-1.52%"
"Jan 19","1,974.73","1,858.94","1,980.27","1,772.66","69.90M","6.39%"
"Dec 18","1,856.05","1,945.22","1,990.03","1,833.69","49.34M","-3.82%"
"Nov 18","1,929.78","1,905.66","1,957.96","1,749.62","52.73M","1.55%"
"Oct 18","1,900.27","2,148.07","2,231.46","1,749.47","68.06M","-11.24%"
"Sep 18","2,141.01","2,044.05","2,168.66","1,978.70","44.64M","5.07%"
"Aug 18","2,037.77","1,911.83","2,051.11","1,906.98","42.26M","7.12%"
"Jul 18","1,902.28","1,815.80","1,975.61","1,805.11","86.78M","5.00%"
"Jun 18","1,811.63","1,719.71","1,848.30","1,677.70","74.26M","6.13%"
"May 18","1,707.02","1,730.74","1,801.48","1,665.15","65.34M","-1.42%"
"Apr 18","1,731.53","1,392.24","1,745.21","1,392.24","116.30M","23.97%"
"Mar 18","1,396.73","1,494.70","1,532.94","1,363.59","145.33M","-6.13%"
"Feb 18","1,487.86","1,531.47","1,563.82","1,417.98","46.27M","-2.48%"
"Jan 18","1,525.76","1,314.94","1,597.67","1,284.49","58.09M","15.22%"
