"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 21","1,301.15","1,272.25","1,344.05","1,266.15","10.72M","0.95%"
"Sep 21","1,288.90","1,451.25","1,476.00","1,232.90","209.45M","-11.13%"
"Aug 21","1,450.25","1,446.00","1,534.50","1,310.75","319.96M","1.11%"
"Jul 21","1,434.30","1,171.90","1,481.80","1,130.20","238.07M","22.95%"
"Jun 21","1,166.60","1,120.00","1,192.00","1,050.25","294.24M","3.64%"
"May 21","1,125.65","1,031.95","1,246.85","1,018.50","532.14M","8.86%"
"Apr 21","1,034.00","821.00","1,052.60","819.00","504.52M","27.36%"
"Mar 21","811.85","724.00","823.50","681.25","420.19M","13.52%"
"Feb 21","715.15","604.90","753.00","597.45","471.31M","18.99%"
"Jan 21","601.00","645.00","731.50","596.00","433.07M","-6.63%"
"Dec 20","643.65","592.00","653.50","576.95","358.91M","11.48%"
"Nov 20","577.35","410.00","582.35","398.70","461.76M","40.63%"
"Oct 20","410.55","364.30","426.00","362.50","375.33M","14.12%"
"Sep 20","359.75","413.90","443.65","342.75","320.53M","-12.89%"
"Aug 20","413.00","364.75","442.00","362.05","344.60M","12.75%"
"Jul 20","366.30","329.00","378.45","320.30","310.97M","12.12%"
"Jun 20","326.70","302.00","350.80","300.00","367.48M","10.67%"
"May 20","295.20","285.00","298.60","262.45","242.36M","-1.04%"
"Apr 20","298.30","266.00","304.50","251.00","281.99M","10.65%"
"Mar 20","269.60","393.70","394.00","250.85","405.87M","-29.38%"
"Feb 20","381.75","431.50","487.25","375.00","285.50M","-12.98%"
"Jan 20","438.70","473.00","506.00","436.45","272.14M","-7.06%"
"Dec 19","472.05","424.95","476.30","389.00","354.08M","10.42%"
"Nov 19","427.50","380.05","434.30","378.00","375.93M","12.34%"
"Oct 19","380.55","362.00","399.70","320.35","282.37M","5.56%"
"Sep 19","360.50","341.00","388.85","327.30","258.76M","4.52%"
"Aug 19","344.90","427.50","431.90","322.20","281.89M","-20.17%"
"Jul 19","432.05","509.85","514.85","406.20","183.80M","-14.34%"
"Jun 19","504.40","488.95","516.45","463.65","178.67M","3.30%"
"May 19","488.30","554.10","561.65","455.15","245.87M","-12.37%"
"Apr 19","557.20","530.00","560.80","509.00","184.23M","6.95%"
"Mar 19","521.00","503.50","531.90","502.00","125.23M","4.11%"
"Feb 19","500.45","477.00","512.30","452.00","203.62M","4.98%"
"Jan 19","476.70","524.00","524.50","441.35","169.30M","-8.51%"
"Dec 18","521.05","541.20","552.70","486.15","136.78M","-1.60%"
"Nov 18","529.50","555.80","610.60","512.50","169.14M","-4.40%"
"Oct 18","553.85","580.00","594.40","529.35","140.73M","-4.71%"
"Sep 18","581.25","603.00","647.60","575.00","164.71M","-3.21%"
"Aug 18","600.50","562.85","614.50","540.60","183.48M","6.65%"
"Jul 18","563.05","575.95","586.50","493.00","193.71M","-0.83%"
"Jun 18","567.75","570.00","608.20","538.25","160.52M","-1.37%"
"May 18","575.65","597.10","636.80","536.55","163.22M","-3.24%"
"Apr 18","594.95","573.10","624.50","557.55","158.97M","4.19%"
"Mar 18","571.05","671.35","685.00","553.50","213.64M","-14.97%"
"Feb 18","671.60","708.00","720.50","632.55","166.27M","-4.74%"
"Jan 18","705.05","657.22","747.90","641.74","107.76M","7.29%"
"Dec 17","657.13","623.49","668.30","592.80","92.57M","5.51%"
"Nov 17","622.81","640.22","644.66","600.47","77.01M","-1.37%"
"Oct 17","631.47","589.03","659.47","587.19","97.74M","7.85%"
"Sep 17","585.49","574.18","624.70","559.07","98.06M","2.27%"
"Aug 17","572.48","511.15","576.92","500.25","131.08M","12.51%"
"Jul 17","508.82","489.44","513.53","486.34","89.95M","3.91%"
"Jun 17","489.66","452.83","491.59","436.95","126.55M","8.13%"
"May 17","452.83","404.65","467.14","384.02","210.06M","12.34%"
"Apr 17","403.08","436.05","454.31","396.62","96.57M","-6.93%"
"Mar 17","433.09","435.16","456.47","414.70","117.43M","0.00%"
"Feb 17","433.09","416.36","444.94","408.82","111.00M","4.24%"
"Jan 17","415.46","353.02","427.76","348.93","112.94M","18.35%"
"Dec 16","351.04","374.46","390.61","338.57","87.66M","-5.73%"
"Nov 16","372.40","363.24","396.13","328.66","143.18M","2.56%"
"Oct 16","363.11","338.17","387.51","337.63","141.70M","8.14%"
"Sep 16","335.79","333.14","366.61","318.79","135.21M","1.12%"
"Aug 16","332.07","319.55","354.09","317.84","143.18M","4.24%"
"Jul 16","318.56","292.95","340.41","280.03","167.59M","10.28%"
"Jun 16","288.86","301.38","312.51","265.85","139.08M","-3.71%"
"May 16","299.99","313.13","319.10","279.26","145.07M","-4.77%"
"Apr 16","315.02","285.01","326.64","276.62","170.66M","9.82%"
"Mar 16","286.85","224.31","292.27","221.21","178.72M","28.34%"
"Feb 16","223.50","223.32","236.55","189.45","194.39M","-0.24%"
"Jan 16","224.04","232.38","247.99","202.06","146.75M","-3.89%"
