Date,TM,TM1,TM2,U,ER,I,CPI,IP,TM_RAW,TM_RAW1,TM_RAW2,BSE_RAW,BSE_RAW1,BSE_RAW2,BSE_P,BSE_P1,BSE_P2
Mar-16,0.29,-0.1104,-0.139,8.73,66.8586,0.1,126,4,386.6,299.7,336.9,25341.86,23002,24870.69,0.1017,-0.0751,-0.0477
Apr-16,0.0563,0.29,-0.1104,8.9,66.4734,1.03,127.3,7.2,408.35,386.6,299.7,25606.62,25341.86,23002,0.0104,0.1017,-0.0751
May-16,0.1256,0.0563,0.29,9.65,66.9571,1.02,128.6,5.2,459.65,408.35,386.6,26667.96,25606.62,25341.86,0.0414,0.0104,0.1017
Jun-16,-0.0009,0.1256,0.0563,8.91,67.2331,1.17,130.1,6,459.25,459.65,408.35,26999.72,26667.96,25606.62,0.0124,0.0414,0.0104
Jul-16,0.0957,-0.0009,0.1256,8.51,67.1255,0.77,131.1,7.3,503.2,459.25,459.65,28051.86,26999.72,26667.96,0.039,0.0124,0.0414
Aug-16,0.0686,0.0957,-0.0009,9.59,66.9489,0.1,131.1,8,537.7,503.2,459.25,28452.17,28051.86,26999.72,0.0143,0.039,0.0124
Sep-16,-0.0053,0.0686,0.0957,8.43,66.7343,-0.15,130.9,4.5,534.85,537.7,503.2,27865.96,28452.17,28051.86,-0.0206,0.0143,0.039
Oct-16,-0.0054,-0.0053,0.0686,6.71,66.7269,0.38,131.4,4,531.95,534.85,537.7,27930.21,27865.96,28452.17,0.0023,-0.0206,0.0143
Nov-16,-0.1366,-0.0054,-0.0053,6.51,67.721,-0.15,131.2,5,459.3,531.95,534.85,26652.81,27930.21,27865.96,-0.0457,0.0023,-0.0206
Dec-16,0.0277,-0.1366,-0.0054,6.4,67.8116,-0.61,130.4,4.2,472,459.3,531.95,26626.46,26652.81,27930.21,-0.001,-0.0457,0.0023
Jan-17,0.1092,0.0277,-0.1366,5.93,68.075,-0.08,130.3,5.1,523.55,472,459.3,27655.96,26626.46,26652.81,0.0387,-0.001,-0.0457
Feb-17,-0.1276,0.1092,0.0277,5.01,66.9638,0.23,130.6,2.4,456.75,523.55,472,28743.32,27655.96,26626.46,0.0393,0.0387,-0.001
Mar-17,0.0199,-0.1276,0.1092,4.67,65.8677,0.23,130.9,3.5,465.85,456.75,523.55,29620.5,28743.32,27655.96,0.0305,0.0393,0.0387
Apr-17,-0.0149,0.0199,-0.1276,3.87,64.5291,0.15,131.1,1.2,458.9,465.85,456.75,29918.4,29620.5,28743.32,0.0101,0.0305,0.0393
May-17,0.0376,-0.0149,0.0199,4.03,64.4173,0.23,131.4,4.4,476.15,458.9,465.85,31145.8,29918.4,29620.5,0.041,0.0101,0.0305
