"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 21","11.35","11.60","12.20","11.15","181.78M","-4.62%"
"Sep 21","11.90","6.05","12.35","6.00","15.89B","95.08%"
"Aug 21","6.10","8.35","8.55","4.55","10.46B","-26.06%"
"Jul 21","8.25","9.00","9.90","7.90","6.79B","-17.09%"
"Jun 21","9.95","8.70","10.95","8.45","5.59B","15.03%"
"May 21","8.65","8.30","9.15","8.05","2.36B","3.59%"
"Apr 21","8.35","9.30","10.15","8.30","2.57B","-9.73%"
"Mar 21","9.25","11.40","11.65","8.80","4.56B","-18.14%"
"Feb 21","11.30","11.10","13.05","10.65","5.28B","0.89%"
"Jan 21","11.20","10.75","13.80","10.60","8.32B","5.16%"
"Dec 20","10.65","9.80","10.90","8.90","6.27B","8.67%"
"Nov 20","9.80","8.80","10.75","8.35","5.11B","12.00%"
"Oct 20","8.75","9.30","9.50","7.60","4.17B","-8.38%"
"Sep 20","9.55","10.80","13.50","7.65","13.77B","-6.37%"
"Aug 20","10.20","8.40","11.10","7.60","6.81B","21.43%"
"Jul 20","8.40","10.40","10.75","7.00","10.18B","-20.75%"
"Jun 20","10.60","6.45","12.60","6.00","22.82B","61.83%"
"May 20","6.55","4.05","7.80","3.90","9.67B","55.95%"
"Apr 20","4.20","3.10","4.90","3.00","6.39B","35.48%"
"Mar 20","3.10","3.90","7.20","2.70","11.50B","-19.48%"
"Feb 20","3.85","5.35","5.55","2.80","8.53B","-27.36%"
"Jan 20","5.30","6.20","6.65","3.65","5.53B","-13.82%"
"Dec 19","6.15","7.50","8.80","5.75","7.21B","-10.22%"
"Nov 19","6.85","3.85","8.15","2.40","11.25B","75.64%"
"Oct 19","3.90","6.30","6.90","3.30","4.66B","-36.59%"
"Sep 19","6.15","5.40","6.45","4.80","2.18B","14.95%"
"Aug 19","5.35","6.90","6.95","4.80","2.88B","-21.90%"
"Jul 19","6.85","12.10","13.15","6.00","2.30B","-43.62%"
"Jun 19","12.15","13.95","14.40","11.10","949.89M","-12.90%"
"May 19","13.95","15.35","17.15","11.50","3.07B","-9.71%"
"Apr 19","15.45","18.25","18.25","14.90","1.32B","-15.34%"
"Mar 19","18.25","18.36","21.32","17.06","1.67B","1.05%"
"Feb 19","18.06","18.30","19.90","17.40","787.35M","-0.66%"
"Jan 19","18.18","22.95","23.01","17.18","680.72M","-20.26%"
"Dec 18","22.80","21.53","23.47","19.33","692.85M","6.94%"
"Nov 18","21.32","23.50","27.51","21.20","1.02B","-8.67%"
"Oct 18","23.34","23.41","23.77","19.66","665.11M","0.26%"
"Sep 18","23.28","30.47","31.59","21.96","782.30M","-21.88%"
"Aug 18","29.81","33.37","34.49","29.48","618.83M","-10.03%"
"Jul 18","33.13","35.58","36.99","29.17","775.67M","-7.58%"
"Jun 18","35.85","38.05","39.77","32.92","582.24M","-3.50%"
"May 18","37.15","41.92","41.92","30.26","724.90M","-11.06%"
"Apr 18","41.77","46.33","47.35","40.80","440.43M","-8.89%"
"Mar 18","45.84","50.71","50.86","45.03","363.24M","-9.54%"
"Feb 18","50.68","56.47","56.50","48.32","455.37M","-9.88%"
"Jan 18","56.23","64.87","71.82","55.08","756.27M","-13.92%"
"Dec 17","65.32","57.08","65.78","54.06","316.83M","14.51%"
"Nov 17","57.05","56.96","66.92","54.99","719.26M","1.72%"
"Oct 17","56.08","47.53","60.91","43.16","558.03M","19.88%"
"Sep 17","46.78","54.96","55.15","45.15","376.91M","-14.56%"
"Aug 17","54.75","56.72","57.38","51.22","265.64M","-1.95%"
"Jul 17","55.84","51.49","60.22","49.44","618.36M","8.45%"
"Jun 17","51.49","47.87","51.76","45.96","274.86M","6.56%"
"May 17","48.32","51.94","56.38","45.78","447.94M","-6.92%"
"Apr 17","51.91","51.76","54.06","50.92","299.05M","0.12%"
"Mar 17","51.85","69.46","74.59","51.52","1.33B","-25.90%"
"Feb 17","69.97","66.62","73.93","61.40","950.87M","5.22%"
"Jan 17","66.50","45.00","71.88","40.05","1.07B","48.48%"
"Dec 16","44.79","46.57","47.02","41.16","248.86M","-4.26%"
"Nov 16","46.78","46.39","48.26","39.74","247.68M","0.85%"
"Oct 16","46.39","48.38","49.89","42.94","305.28M","-2.91%"
"Sep 16","47.78","56.23","56.59","47.11","454.41M","-15.36%"
"Aug 16","56.44","63.45","64.63","55.87","333.49M","-10.74%"
"Jul 16","63.24","64.63","68.04","60.70","178.79M","-1.78%"
"Jun 16","64.39","69.91","73.57","58.32","648.56M","-7.26%"
"May 16","69.43","71.27","73.24","63.60","180.69M","-3.04%"
"Apr 16","71.60","66.74","77.52","64.27","158.30M","7.58%"
"Mar 16","66.56","62.82","69.52","59.22","164.65M","5.66%"
"Feb 16","63.00","62.85","67.86","58.71","138.15M","1.11%"
"Jan 16","62.30","86.34","87.25","61.79","167.06M","-28.19%"
